data,PIB,Cambio_Dolar,IGPM,Inflacao_Mensal,Selic
2005-06-01,0.07480636276447795,0.19375374309606724,0.20926966292134833,0.17837837837837836,19.75
2005-07-01,0.0771772761301557,0.17540979970277043,0.22331460674157305,0.25135135135135134,19.75
2005-08-01,0.08272205130843875,0.18264090677195394,0.1797752808988764,0.22972972972972971,19.75
2005-09-01,0.08025713261315352,0.17904753454739036,0.19662921348314608,0.2783783783783783,19.75
2005-10-01,0.0895800424596236,0.15056673247121982,0.3553370786516854,0.3864864864864864,19.5
2005-11-01,0.09338885255115618,0.15449282434620587,0.327247191011236,0.33243243243243237,19.0
2005-12-01,0.08973045098699549,0.14697336024665614,0.26966292134831465,0.28108108108108104,18.5
2006-01-01,0.07721267930692012,0.17343566311026332,0.4002808988764045,0.3432432432432432,18.0
2006-02-01,0.07203578931327619,0.14786061264778294,0.27247191011235955,0.2945945945945946,17.25
2006-03-01,0.09245979403047465,0.1248807754585986,0.23876404494382025,0.29999999999999993,17.25
2006-04-01,0.08477752456810049,0.13288822837876807,0.21207865168539328,0.24054054054054053,16.5
2006-05-01,0.09593546242760902,0.1146108289155558,0.32443820224719105,0.2108108108108108,15.75
2006-06-01,0.09145784014893961,0.15886254242175551,0.3764044943820225,0.127027027027027,15.25
2006-07-01,0.1011746927977294,0.13641505667324716,0.2963483146067416,0.23513513513513512,15.25
2006-08-01,0.10700005464403368,0.1409400439189939,0.32303370786516855,0.19729729729729728,14.75
2006-09-01,0.10343521861846465,0.13124681143668343,0.3117977528089888,0.24054054054054053,14.25
2006-10-01,0.11826387219057373,0.1346849144910499,0.3370786516853933,0.27297297297297296,14.25
2006-11-01,0.12039949736284815,0.1299602954550496,0.3764044943820225,0.26756756756756755,13.75
2006-12-01,0.11418492046764296,0.13577179868243017,0.3160112359550562,0.3135135135135135,13.25
2007-01-01,0.1046573978511151,0.128451966373134,0.3412921348314607,0.30270270270270266,13.25
2007-02-01,0.09903379013326656,0.12292882017611967,0.30898876404494385,0.30270270270270266,13.0
2007-03-01,0.12284440556691863,0.12663309895082403,0.31882022471910115,0.28378378378378377,13.0
2007-04-01,0.1181336940499244,0.10928731450879492,0.276685393258427,0.25135135135135134,12.75
