data,PIB,Cambio_Dolar,IGPM,Inflacao_Mensal,Selic
2004-02-01,-1.274139345703554,-0.17050657373409916,0.0687471329384505,0.2868008714042319,16.5
2004-03-01,-1.196743289968265,-0.21304923788704402,0.5431023502137594,-0.06804977448304059,16.5
2004-04-01,-1.203101862024337,-0.21627335846055723,0.6293487533547247,-0.32151452154537796,16.25
2004-05-01,-1.199023246318782,-0.1639796954999134,0.7371567572809314,0.03333612434189449,16.0
2004-06-01,-1.1890307395512867,-0.006862795356505524,0.8126223600292759,0.5402656184665693,16.0
2004-07-01,-1.1660635561288435,-0.07134520682677298,0.7371567572809314,1.0471951125912442,16.0
2004-08-01,-1.1666567353506587,-0.0934422283184133,0.6401295537473455,0.48957266905410174,16.0
2004-09-01,-1.1630004241939682,-0.18529034611996517,0.0687471329384505,-0.4229004203703129,16.0
2004-10-01,-1.1409437586716775,-0.24702045953967255,-0.2546768788401692,-0.14408919860174174,16.25
2004-11-01,-1.1261891375068236,-0.24096540382844026,0.20889753804251907,0.48957266905410174,16.75
2004-12-01,-1.144500799780273,-0.354595994772997,0.12265113490155384,0.9204627390600755,17.25
2005-01-01,-1.192792830267423,-0.39100496612755054,-0.2546768788401692,0.21076144728553056,17.75
2005-02-01,-1.1996196802962724,-0.434412638239243,-0.35170408237375517,0.23610792199176434,18.25
2005-03-01,-1.1258559318945691,-0.4437704516111475,0.2412399392203811,0.2868008714042319,18.75
2005-04-01,-1.1265963888106898,-0.4013850616325207,0.25202073961300175,0.9458092137663092,19.25
2005-05-01,-1.1257403880680976,-0.511791532003564,-0.9123057027900294,-0.01735682507057305,19.5
2005-06-01,-1.120089725371394,-0.5794194269601862,-1.149483311427684,-1.310027035088494,19.75
2005-07-01,-1.1113165314487417,-0.6444522980405658,-1.0416753075014773,-0.6256722180201829,19.75
2005-08-01,-1.0907989585163875,-0.6188166076267766,-1.3758801196727177,-0.8284440156700529,19.75
2005-09-01,-1.0999200044518331,-0.6315558157465123,-1.2465105149612699,-0.3722074709578455,19.75
2005-10-01,-1.0654220353608765,-0.732525835658492,-0.028280070595135397,0.6416515172915043,19.5
2005-11-01,-1.0513281295980996,-0.7186070712313736,-0.24389607844754851,0.13472202316682955,19.0
2005-12-01,-1.0648654721404078,-0.7452650437782282,-0.6859088945449956,-0.3468609962516117,18.5
2006-01-01,-1.1111855275328126,-0.6514509987977044,0.31670554196872575,0.23610792199176434,18.0
2006-02-01,-1.1303417989039908,-0.7421195602918736,-0.6643472937597542,-0.22012862272044303,17.25
